Country/Region,location,continent,population_year,population
Spain,Spain,Europe,2021,47486935
Sri Lanka,Sri Lanka,Asia,2021,21773441
Sudan,Sudan,Africa,2021,45657202
Suriname,Suriname,South America,2021,612984
Sweden,Sweden,Europe,2021,10467097
Switzerland,Switzerland,Europe,2021,8691406
Syria,Syria,Asia,2021,21324367
Taiwan*,Taiwan,Asia,2021,23859912
Tajikistan,Tajikistan,Asia,2021,9750064
Tanzania,Tanzania,Africa,2021,63588334
Thailand,Thailand,Asia,2021,71601103
Timor-Leste,Timor,Asia,2021,1320942
Togo,Togo,Africa,2021,8644829
Tonga,Tonga,Oceania,2021,106017
Trinidad and Tobago,Trinidad and Tobago,North America,2021,1525663
Tunisia,Tunisia,Africa,2021,12262946
Turkey,Turkey,Asia,2021,84775404
Turks and Caicos Islands,Turks and Caicos Islands,North America,2021,45114
Tuvalu,Tuvalu,Oceania,2021,11204
Uganda,Uganda,Africa,2021,45853778
Ukraine,Ukraine,Europe,2021,43531422
United Arab Emirates,United Arab Emirates,Asia,2021,9365144
United Kingdom,United Kingdom,Europe,2021,67281040
US,United States,North America,2021,336997624
Uruguay,Uruguay,South America,2021,3426260
Uzbekistan,Uzbekistan,Asia,2021,34081449
Vanuatu,Vanuatu,Oceania,2021,319136
Holy See,Vatican,Europe,2021,511
Venezuela,Venezuela,South America,2021,28199866
Vietnam,Vietnam,Asia,2021,97468028
Wallis and Futuna,Wallis and Futuna,Oceania,2021,11627
Yemen,Yemen,Asia,2021,32981641
Zambia,Zambia,Africa,2021,19473125
Zimbabwe,Zimbabwe,Africa,2021,15993524
