location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Switzerland,2021-09-19,10,19,33.84
Switzerland,2021-09-19,20,29,60.61
Switzerland,2021-09-19,30,39,62.73
Switzerland,2021-09-19,40,49,70.22
Switzerland,2021-09-19,50,59,75.17
Switzerland,2021-09-19,60,69,80.27
Switzerland,2021-09-19,70,79,87.48
Switzerland,2021-09-19,80,,89.38
Switzerland,2021-09-26,0,9,0.02
Switzerland,2021-09-26,10,19,36.02
Switzerland,2021-09-26,20,29,62.88
Switzerland,2021-09-26,30,39,64.61
Switzerland,2021-09-26,40,49,71.66
Switzerland,2021-09-26,50,59,76.27
Switzerland,2021-09-26,60,69,81.01
Switzerland,2021-09-26,70,79,87.95
Switzerland,2021-09-26,80,,89.89
Switzerland,2021-10-03,0,9,0.02
Switzerland,2021-10-03,10,19,37.44
Switzerland,2021-10-03,20,29,64.3
Switzerland,2021-10-03,30,39,65.8
Switzerland,2021-10-03,40,49,72.57
Switzerland,2021-10-03,50,59,76.98
Switzerland,2021-10-03,60,69,81.52
Switzerland,2021-10-03,70,79,88.29
Switzerland,2021-10-03,80,,90.25
Switzerland,2021-10-10,0,9,0.02
Switzerland,2021-10-10,10,19,38.47
Switzerland,2021-10-10,20,29,65.36
Switzerland,2021-10-10,30,39,66.71
Switzerland,2021-10-10,40,49,73.2
Switzerland,2021-10-10,50,59,77.5
Switzerland,2021-10-10,60,69,81.89
Switzerland,2021-10-10,70,79,88.54
Switzerland,2021-10-10,80,,90.52
Switzerland,2021-10-17,0,9,0.02
Switzerland,2021-10-17,10,19,39.31
Switzerland,2021-10-17,20,29,66.33
Switzerland,2021-10-17,30,39,67.51
Switzerland,2021-10-17,40,49,73.79
Switzerland,2021-10-17,50,59,78.0
Switzerland,2021-10-17,60,69,82.25
Switzerland,2021-10-17,70,79,88.77
Switzerland,2021-10-17,80,,90.76
Switzerland,2021-10-24,0,9,0.02
Switzerland,2021-10-24,10,19,40.06
Switzerland,2021-10-24,20,29,67.1
Switzerland,2021-10-24,30,39,68.16
Switzerland,2021-10-24,40,49,74.26
Switzerland,2021-10-24,50,59,78.36
Switzerland,2021-10-24,60,69,82.51
Switzerland,2021-10-24,70,79,88.95
Switzerland,2021-10-24,80,,90.94
Switzerland,2021-10-31,0,9,0.02
Switzerland,2021-10-31,10,19,40.67
Switzerland,2021-10-31,20,29,67.67
Switzerland,2021-10-31,30,39,68.64
Switzerland,2021-10-31,40,49,74.61
Switzerland,2021-10-31,50,59,78.63
Switzerland,2021-10-31,60,69,82.71
Switzerland,2021-10-31,70,79,89.08
Switzerland,2021-10-31,80,,91.09
Switzerland,2021-11-07,0,9,0.02
Switzerland,2021-11-07,10,19,41.23
